date,symbol,name,sector,open_price,high_price,low_price,close_price,prev_close,percent_change,volume,turnover,transactions
2026-03-20,HRL,HRL,Unknown,887.0,894.9,870.0,887.9,870.0,2.06,201643.0,178791549.4,1817
2026-03-20,HURJA,HURJA,Unknown,297.0,312.1,297.0,305.0,302.7,0.76,619385.0,191399774.7,1582
2026-03-20,ICFC,ICFC,Unknown,668.0,680.0,658.1,675.0,662.9,1.83,34873.0,23499928.6,169
2026-03-20,ICFCD88,ICFCD88,Unknown,1184.9,1184.9,1161.3,1169.0,1170.0,-0.09,375.0,439672.5,4
2026-03-20,IGI,IGI,Unknown,453.0,468.2,447.0,461.3,454.0,1.61,65623.0,30377442.5,268
2026-03-20,IHL,IHL,Unknown,525.0,544.0,520.5,530.0,523.5,1.24,19052.0,10056360.2,213
2026-03-20,ILBS,ILBS,Unknown,952.0,986.0,952.0,971.1,969.9,0.12,7155.0,6936087.5,109
2026-03-20,ILI,ILI,Unknown,455.0,465.1,451.0,463.9,452.0,2.63,44887.0,20711998.3,787
2026-03-20,JBBL,JBBL,Unknown,359.1,378.0,359.1,375.0,359.1,4.43,394005.0,146377052.3,1197
2026-03-20,JBLB,JBLB,Unknown,1380.0,1390.0,1366.0,1371.5,1366.0,0.4,9794.0,13458690.9,229
2026-03-20,JFL,JFL,Unknown,453.1,462.0,450.0,455.0,444.7,2.32,23826.0,10852273.0,175
2026-03-20,JHAPA,JHAPA,Unknown,1447.0,1447.0,1400.1,1417.0,1419.2,-0.16,8468.0,12028885.1,192
2026-03-20,JOSHI,JOSHI,Unknown,320.0,332.5,316.1,325.0,316.0,2.85,249220.0,81155799.3,1018
2026-03-20,JSLBB,JSLBB,Unknown,1164.0,1200.0,1156.2,1197.0,1165.0,2.75,979.0,1155111.7,31
2026-03-20,KBL,KBL,Unknown,225.3,239.0,221.5,232.0,220.9,5.02,2381631.0,544851092.7,4315
2026-03-20,KBSH,KBSH,Unknown,1734.0,1768.0,1700.1,1700.1,1700.0,0.01,485.0,829649.0,17
2026-03-20,KDBY,KDBY,Unknown,10.22,10.5,10.22,10.36,10.25,1.07,159056.0,1661897.0,72
2026-03-20,KDL,KDL,Unknown,907.8,907.8,880.2,898.0,890.0,0.9,12969.0,11566391.3,170
2026-03-20,KEF,KEF,Unknown,9.41,9.89,9.41,9.89,9.6,3.02,165583.0,1620893.25,56
2026-03-20,KKHC,KKHC,Unknown,294.1,302.0,294.0,296.0,294.0,0.68,409372.0,122081131.0,1294
2026-03-20,KMCDB,KMCDB,Unknown,936.1,970.0,936.1,965.0,946.0,2.01,8053.0,7754120.9,87
2026-03-20,KPCL,KPCL,Unknown,546.0,552.0,541.1,545.0,541.0,0.74,124572.0,68223759.9,467
2026-03-20,KSBBL,KSBBL,Unknown,491.0,505.0,487.1,503.0,482.3,4.29,171152.0,85155753.4,492
2026-03-20,KSY,KSY,Unknown,9.5,10.0,9.5,9.81,9.67,1.45,13843.0,137036.02,18
2026-03-20,LBBL,LBBL,Unknown,506.0,522.2,495.0,516.9,496.8,4.05,245321.0,125451996.8,837
2026-03-20,LEC,LEC,Unknown,267.0,275.0,262.9,265.3,262.9,0.91,1173131.0,316728276.7,2965
2026-03-20,LICN,LICN,Unknown,867.5,884.3,857.0,880.0,852.1,3.27,70857.0,61472539.8,319
2026-03-20,LLBS,LLBS,Unknown,1012.0,1023.0,990.0,1021.0,1010.0,1.09,7167.0,7194856.4,71
2026-03-20,LSL,LSL,Unknown,226.4,231.0,223.1,231.0,222.0,4.05,462620.0,105316792.5,885
2026-03-20,LUK,LUK,Unknown,9.84,10.0,9.84,10.0,9.94,0.6,1100.0,10861.0,5
2026-03-20,LVF2,LVF2,Unknown,9.87,10.01,9.82,10.01,9.95,0.6,12200.0,121895.0,25
2026-03-20,MABEL,MABEL,Unknown,745.0,764.0,740.0,753.0,745.0,1.07,25650.0,19174319.9,432
2026-03-20,MAKAR,MAKAR,Unknown,544.0,555.0,544.0,548.1,544.9,0.59,15417.0,8476035.6,149
2026-03-20,MANDU,MANDU,Unknown,820.0,840.0,818.0,831.9,821.6,1.25,2819.0,2333840.2,88
2026-03-20,MATRI,MATRI,Unknown,980.0,989.0,965.0,989.0,968.1,2.16,2102.0,2060528.8,78
2026-03-20,MBJC,MBJC,Unknown,315.0,332.1,311.0,320.0,309.8,3.29,233722.0,75397073.2,1358
2026-03-20,MBL,MBL,Unknown,247.5,268.0,247.5,266.6,252.5,5.58,641203.0,167585766.6,1180
2026-03-20,MBLEF,MBLEF,Unknown,10.25,10.4,10.25,10.32,10.3,0.19,5000.0,51597.0,35
2026-03-20,MCHL,MCHL,Unknown,414.0,432.0,414.0,426.0,422.0,0.95,18719.0,8037797.0,174
